C_CUSTKEY,C_NAME,C_ADDRESS,C_NATIONKEY,C_PHONE,C_ACCTBAL,C_MKTSEGMENT,C_COMMENT
73703,Customer#000073703,Ox0tRc1EQWNIRB3AEJFg9fA05ubE,18,28-486-164-7126,5904.66,BUILDING,e slyly according to the accounts. carefully regular ideas nag daringl
137699,Customer#000137699,"Axd0iTpEvQAG9N9lihchuAwfIw,cR3",24,34-312-617-6691,1339.71,FURNITURE,yly final deposits use. ironic frays nag carefully. furiou
87512,Customer#000087512,"mgRkhFxXOUBcDrTE,2pv",12,22-654-738-1452,1638.65,HOUSEHOLD,al theodolites detect stealthily after the f
126425,Customer#000126425,"Y8G8TKSUTIvNqAVNv,tT2PNdcGbVqV",6,16-490-903-7108,2020.03,FURNITURE,the requests. blithely final somas sleep carefully blithely unusual pinto beans. furiously regul
27065,Customer#000027065,I6Cfx2heBanOmHWTg7oYLswr7ddsB8ZrbUBZ,12,22-505-889-9173,9189.16,BUILDING, nod against the carefully unusual packages. doggedly regular pinto beans play furio
46142,Customer#000046142,"W7sB8jAyzBoHKe,3hJeUYsZn9OzxhS",0,10-391-185-5892,5148.04,MACHINERY, unusual requests cajole! final ideas haggle fluffily. carefully bold a
128984,Customer#000128984,PvnX2rjxZVadOrTiF1 c9L2L89qJy0jKg9vbz,1,11-521-667-7127,2801.86,HOUSEHOLD,t the blithely quick notornis haggle among the fluffil
39325,Customer#000039325,"cgt,uBW4rFUbYGH8",23,33-707-397-4377,3368.91,FURNITURE,otornis. special theodolites sleep. slyly ironic instructions haggle blithely carefully ironic reques
101861,Customer#000101861,Fd8FchCTibfQdhc,15,25-798-203-7521,6076.91,HOUSEHOLD,ar accounts doubt carefully accounts; 
16940,Customer#000016940,ZGZI4SE8E6RPBvs48ZcL2,2,12-839-789-7315,580.38,FURNITURE,"ructions. final, ironic instructions wake idly blithely express dolphins. ideas after the fluffi"
140467,Customer#000140467,"61SoopYZnDM,FmNT0fQvQHGUkTU73TPgKgX20D",14,24-752-990-4526,6160.90,FURNITURE,sauternes haggle carefully. accounts wake bl
89704,Customer#000089704,oLRLUyunWcX9hiV,9,19-538-206-6239,5773.61,AUTOMOBILE,ns kindle blithely at the carefully final requests. final pinto beans sl
96596,Customer#000096596,"pxJjUdr0uGP8C1lePScq,VLlFY9hyUW c7m",23,33-913-452-4549,1941.09,HOUSEHOLD,s are carefully bravely unusual deposits. ironic deposits cajole blithely accounts. blithely ironic pa
89705,Customer#000089705,TST3VY6pcjYtIlrFKhnyO1UPe,8,18-171-422-8882,4030.82,BUILDING,"eposits. ironic, ironic dolphins x-ray furiously; furiou"
13670,Customer#000013670,"OTUpZxiLL4irapvNd,09n",0,10-815-735-3731,4401.21,HOUSEHOLD,le around the final forges? f
146617,Customer#000146617,T3tNEhRxI0eAIjPg ,19,29-584-539-3724,5817.15,BUILDING,ess deposits. carefully regular accounts sleep fluffily against the fluffy dependencies. stealthily final ideas c
20423,Customer#000020423,aizuw8XM3Sf3,0,10-756-597-1865,1333.96,AUTOMOBILE, haggle. deposits boost blithely-- express foxes sleep after the furiously ironic foxes. 
69409,Customer#000069409,"fwiNKTxep,",13,23-142-362-9139,4404.92,HOUSEHOLD,ar packages. finally final excuses sleep special accounts. furiously even
143830,Customer#000143830,3SmoGyahr9MRyTnhDo92a6,4,14-832-352-4866,1584.06,MACHINERY,uriously around the foxes. blithely r
81616,Customer#000081616," 2GYd,hFMZAMmmzNLPR3NrNpNi8rbiFdo1R8X",7,17-839-633-6407,8766.46,HOUSEHOLD,ly against the quickly unusual excuses. quickly special requests wake: deposits across the bold pinto beans
58558,Customer#000058558,syXAW2uSXEHJH,2,12-431-718-2855,6321.32,MACHINERY, final pinto beans. final packages about the regular ideas wake quickly requests! special deposits nag carefully
123451,Customer#000123451,9p9cf3zARZbzkZLT,16,26-445-152-3895,5391.21,BUILDING,detect carefully silent dependencies. ideas cajole quickly
70271,Customer#000070271,Nv WHnslIfEQ6qa3PJUdLlyPOZjWAExdRVBn,20,30-569-760-4342,5633.19,HOUSEHOLD,among the quickly regular pinto beans. furiously ironic theodolites do unwin
58621,Customer#000058621,"aWmReYm5Z JQdMGyplE9e0yN5Pxz,o",7,17-369-736-1231,9925.64,HOUSEHOLD,oxes cajole slyly after the carefully silent packages. furiously regular pinto beans along the f
149758,Customer#000149758,3OgkbsE97RNzwRfHXiwOcIZfBcN,13,23-849-758-6123,5888.29,AUTOMOBILE,endencies use carefully ironica
94975,Customer#000094975,1nQPjHEGDnIbdvXWbV,10,20-334-157-5896,8462.21,MACHINERY,to the slyly even excuses. boldly bold excuses x-ray alongside of the special requests! requests affix quickly. e
116401,Customer#000116401,YCNloxKmx2H1kr5me3D7L,3,13-595-939-6212,7419.21,BUILDING,ecial deposits haggle blithely. blithely pending re
43651,Customer#000043651,21F2ROvPCOpI7bu,19,29-942-908-9932,9874.92,FURNITURE,"c, silent instructions thrash furiously permanent cour"
11209,Customer#000011209,"mWvY,lepbKja1dpHLO",5,15-339-281-6491,9053.38,FURNITURE,nding deposits use pinto beans. ironic requests haggle quickly aft
133949,Customer#000133949,ZPvXsTYdajQtLp,2,12-526-797-3174,3508.39,MACHINERY,ets integrate carefully slyly regular accounts. blithely ironic accounts among the even pinto be
32617,Customer#000032617,qoEZivS6A1QIiJSlD0QtpprTbk9Cy,24,34-401-687-8024,758.86,BUILDING,ests. slyly ironic instructions cajole. ironic requests are silent theodolites. 
86140,Customer#000086140,pEnTSAjR9Pg1fk6qqf,19,29-991-317-1691,1081.40,AUTOMOBILE,d deposits are. quickly unusual packages can run furiously according to the final requests. 
100381,Customer#000100381," txFMfTnUluhIIdPN2culLHMH4L4wKj5C,fOqs",5,15-306-378-5962,1814.43,MACHINERY,"ccounts after the pinto beans haggle fluffily after the even ideas. final deposits across the even, ir"
128156,Customer#000128156,"suMhd0zJnRg1E0hmL5k,0wqOP299PEIZ",14,24-515-503-8989,2910.48,AUTOMOBILE,us ideas haggle permanently against the bravely bold deposits. carefully ironic platelets are. pen
110545,Customer#000110545,pU42xIkVjDQ4,9,19-640-422-5518,7262.69,HOUSEHOLD,ully final deposits cajole blithely bold foxes. carefully even platelets print quickly bold accounts.
32521,Customer#000032521,WpUsoQ35Cc BHxF,19,29-588-154-1824,2876.34,AUTOMOBILE,ular instructions sleep blithely among the blithely regular accounts. regular hoc
124271,Customer#000124271,JZWfwBtggU1l9jsoLHRCOUgzdilRGCNPb9H,5,15-644-458-3781,38.12,FURNITURE,s sleep slyly final requests. ste
53183,Customer#000053183,"wkXBrzhDFfTnkR3rP5wIdQ6o6INWE lf,",18,28-830-458-7281,6971.77,AUTOMOBILE,ecial theodolites. fluffily bold packages sleep.
90667,Customer#000090667,SGWDOSrTh2U9qWAgyqhk3ZmfERjYo074ycqqUx5,0,10-364-441-8819,6640.64,BUILDING,thely bold requests haggle carefully final foxes. furiously express foxes ought to d
102121,Customer#000102121,jKq0VjqVI3,9,19-164-417-3796,2508.77,AUTOMOBILE, fluffy accounts. blithely regular requests kindle furiously. accounts grow. blithely ironic fo
88651,Customer#000088651,ZS dpdG eXcrd1nf,2,12-301-433-1301,648.77,BUILDING,. regular accounts boost quickly ironic ide
8567,Customer#000008567,T6CcdBLVMFDvJYqqQMX7z8X2FjNCYE4,15,25-231-810-1578,1585.32,HOUSEHOLD,gular packages. ironic theodolites boost bli
12358,Customer#000012358,"O2i16Q oEV1cIP9uGH6LoK8,Jrxe",0,10-853-520-3956,2456.56,HOUSEHOLD,efully regular accounts wake furiously furiously special sauternes. carefully even accounts against the quic
100474,Customer#000100474,hFcLs3eJcQGvFYvvjyyVpzDu35ZzGxz,0,10-146-571-9478,9484.49,MACHINERY, the blithely ironic accounts need to nag slyly about the slyly ironic instructions? fluffily pending de
92885,Customer#000092885,tzBmwtgABf5902tk,22,32-843-499-8476,-394.35,FURNITURE,ress packages. asymptotes cajole platelets. blithely regular r
123646,Customer#000123646,VvUaB30C1Tu3YDJGnpU4YzlQXouiMqg AF,20,30-379-236-3905,1410.46,AUTOMOBILE,"as. furiously final deposits sleep carefully unusual asymptotes. bold, regular platelets nag"
9032,Customer#000009032,ujkrYIy2MgxRAiZCg,1,11-496-394-2994,3380.19,MACHINERY,l accounts haggle among the regular ideas. fluffily unusual pinto beans doubt blithely c
6079,Customer#000006079,JrsyZ3aOo7pyfy1Nfcu7wv2y9MssX9Fl2j,24,34-956-792-4754,7035.43,AUTOMOBILE,"pinto beans cajole carefully special pinto beans. bold packages was across the carefully ironic ideas. even, regular"
103328,Customer#000103328,n hFTF1xGAC6UI6XNNJYWAutbSUPcFO,18,28-208-581-6201,2398.23,MACHINERY,lly special escapades haggle after the deposits. express ideas dazzle fluffily even platelets. 
19126,Customer#000019126,B8olznTSP2evIZatAtrqBllRxkLo,21,31-271-763-1446,1674.57,AUTOMOBILE,even theodolites. carefully express asymptotes above the unus
79774,Customer#000079774,3HTnLu PCg6xju9vWj,10,20-587-169-8027,8111.04,BUILDING,ully ironic theodolites are fluffily quickly close requests. dugouts sleep final gifts. enticingl
44533,Customer#000044533,ofsJvrA8Vsaao BWji4rc,3,13-444-315-6263,3632.27,HOUSEHOLD,ests nag slyly according to the quickly ironic packages. final pearls are against the furiously final
100000,Customer#000100000,Y0wsoJZmr uEKKc9sM,17,27-488-516-6598,4840.82,HOUSEHOLD, according to the regular pains. 
